cod_municipio,uf,regiao,ano,cobertura_aps,fonte
1100254,RO,Norte,2023,126.76,cobertura_aps
1100254,RO,Norte,2024,140.34,cobertura_aps
1100262,RO,Norte,2019,100.0,cobertura_ab
1100262,RO,Norte,2020,97.92,cobertura_ab
1100262,RO,Norte,2021,184.01,cobertura_aps
1100262,RO,Norte,2022,182.14,cobertura_aps
1100262,RO,Norte,2023,201.67,cobertura_aps
1100262,RO,Norte,2024,201.67,cobertura_aps
1100288,RO,Norte,2019,94.3,cobertura_ab
1100288,RO,Norte,2020,93.77,cobertura_ab
1100288,RO,Norte,2021,102.45,cobertura_aps
1100288,RO,Norte,2022,92.6,cobertura_aps
1100288,RO,Norte,2023,92.84,cobertura_aps
1100288,RO,Norte,2024,93.49,cobertura_aps
1100296,RO,Norte,2019,100.0,cobertura_ab
1100296,RO,Norte,2020,100.0,cobertura_ab
1100296,RO,Norte,2021,225.22,cobertura_aps
1100296,RO,Norte,2022,235.61,cobertura_aps
1100296,RO,Norte,2023,188.7,cobertura_aps
1100296,RO,Norte,2024,188.7,cobertura_aps
1100304,RO,Norte,2019,87.04,cobertura_ab
1100304,RO,Norte,2020,78.98,cobertura_ab
1100304,RO,Norte,2021,94.21,cobertura_aps
1100304,RO,Norte,2022,84.41,cobertura_aps
1100304,RO,Norte,2023,103.78,cobertura_aps
1100304,RO,Norte,2024,118.24,cobertura_aps
1100320,RO,Norte,2019,71.52,cobertura_ab
1100320,RO,Norte,2020,52.0,cobertura_ab
1100320,RO,Norte,2021,60.66,cobertura_aps
1100320,RO,Norte,2022,60.48,cobertura_aps
1100320,RO,Norte,2023,67.48,cobertura_aps
1100320,RO,Norte,2024,67.48,cobertura_aps
1100338,RO,Norte,2019,62.8,cobertura_ab
1100338,RO,Norte,2020,60.16,cobertura_ab
1100338,RO,Norte,2021,78.04,cobertura_aps
1100338,RO,Norte,2022,76.12,cobertura_aps
1100338,RO,Norte,2023,102.01,cobertura_aps
1100338,RO,Norte,2024,128.38,cobertura_aps
1100346,RO,Norte,2019,21.48,cobertura_ab
1100346,RO,Norte,2020,86.86,cobertura_ab
1100346,RO,Norte,2021,124.06,cobertura_aps
1100346,RO,Norte,2022,122.51,cobertura_aps
1100346,RO,Norte,2023,120.07,cobertura_aps
1100346,RO,Norte,2024,120.07,cobertura_aps
1100379,RO,Norte,2019,100.0,cobertura_ab
1100379,RO,Norte,2020,100.0,cobertura_ab
1100379,RO,Norte,2021,158.43,cobertura_aps
1100379,RO,Norte,2022,158.27,cobertura_aps
1100379,RO,Norte,2023,182.94,cobertura_aps
1100379,RO,Norte,2024,182.94,cobertura_aps
1100403,RO,Norte,2019,76.67,cobertura_ab
1100403,RO,Norte,2020,52.32,cobertura_ab
1100403,RO,Norte,2021,96.12,cobertura_aps
1100403,RO,Norte,2022,81.24,cobertura_aps
1100403,RO,Norte,2023,136.72,cobertura_aps
1100403,RO,Norte,2024,144.76,cobertura_aps
1100452,RO,Norte,2019,62.09,cobertura_ab
1100452,RO,Norte,2020,62.58,cobertura_ab
1100452,RO,Norte,2021,75.88,cobertura_aps
1100452,RO,Norte,2022,70.35,cobertura_aps
1100452,RO,Norte,2023,112.53,cobertura_aps
1100452,RO,Norte,2024,121.5,cobertura_aps
1100502,RO,Norte,2019,89.9,cobertura_ab
1100502,RO,Norte,2020,92.01,cobertura_ab
1100502,RO,Norte,2021,168.08,cobertura_aps
1100502,RO,Norte,2022,129.23,cobertura_aps
1100502,RO,Norte,2023,159.78,cobertura_aps
1100502,RO,Norte,2024,182.6,cobertura_aps
1100601,RO,Norte,2019,96.31,cobertura_ab
1100601,RO,Norte,2020,88.85,cobertura_ab
1100601,RO,Norte,2021,167.49,cobertura_aps
1100601,RO,Norte,2022,110.98,cobertura_aps
1100601,RO,Norte,2023,210.84,cobertura_aps
1100601,RO,Norte,2024,253.01,cobertura_aps
1100700,RO,Norte,2019,92.35,cobertura_ab
1100700,RO,Norte,2020,91.5,cobertura_ab
1100700,RO,Norte,2021,98.13,cobertura_aps
1100700,RO,Norte,2022,97.28,cobertura_aps
1100700,RO,Norte,2023,151.7,cobertura_aps
1100700,RO,Norte,2024,181.38,cobertura_aps
1100809,RO,Norte,2019,100.0,cobertura_ab
1100809,RO,Norte,2020,100.0,cobertura_ab
1100809,RO,Norte,2021,100.1,cobertura_aps
1100809,RO,Norte,2022,92.48,cobertura_aps
1100809,RO,Norte,2023,133.34,cobertura_aps
1100809,RO,Norte,2024,157.53,cobertura_aps
1100908,RO,Norte,2019,100.0,cobertura_ab
1100908,RO,Norte,2020,100.0,cobertura_ab
1100908,RO,Norte,2021,234.34,cobertura_aps
1100908,RO,Norte,2022,239.47,cobertura_aps
1100908,RO,Norte,2023,207.49,cobertura_aps
1100908,RO,Norte,2024,216.51,cobertura_aps
1100924,RO,Norte,2019,100.0,cobertura_ab
1100924,RO,Norte,2020,99.38,cobertura_ab
1100924,RO,Norte,2021,122.03,cobertura_aps
1100924,RO,Norte,2022,119.09,cobertura_aps
1100924,RO,Norte,2023,164.22,cobertura_aps
1100924,RO,Norte,2024,124.55,cobertura_aps
1100940,RO,Norte,2019,41.9,cobertura_ab
1100940,RO,Norte,2020,45.18,cobertura_ab
1100940,RO,Norte,2021,42.33,cobertura_aps
1100940,RO,Norte,2022,49.45,cobertura_aps
1100940,RO,Norte,2023,94.19,cobertura_aps
1100940,RO,Norte,2024,94.19,cobertura_aps
1101005,RO,Norte,2019,100.0,cobertura_ab
1101005,RO,Norte,2020,100.0,cobertura_ab
1101005,RO,Norte,2021,188.04,cobertura_aps
1101005,RO,Norte,2022,171.8,cobertura_aps
1101005,RO,Norte,2023,174.97,cobertura_aps
1101005,RO,Norte,2024,174.97,cobertura_aps
1101104,RO,Norte,2019,69.91,cobertura_ab
1101104,RO,Norte,2020,90.72,cobertura_ab
1101104,RO,Norte,2021,98.67,cobertura_aps
1101104,RO,Norte,2022,94.35,cobertura_aps
1101104,RO,Norte,2023,116.01,cobertura_aps
1101104,RO,Norte,2024,122.83,cobertura_aps
1101203,RO,Norte,2019,72.62,cobertura_ab
1101203,RO,Norte,2020,100.0,cobertura_ab
1101203,RO,Norte,2021,109.84,cobertura_aps
1101203,RO,Norte,2022,110.98,cobertura_aps
1101203,RO,Norte,2023,162.38,cobertura_aps
1101203,RO,Norte,2024,162.38,cobertura_aps
1101302,RO,Norte,2019,93.41,cobertura_ab
1101302,RO,Norte,2020,94.55,cobertura_ab
1101302,RO,Norte,2021,129.41,cobertura_aps
1101302,RO,Norte,2022,87.3,cobertura_aps
1101302,RO,Norte,2023,135.8,cobertura_aps
1101302,RO,Norte,2024,151.59,cobertura_aps
1101401,RO,Norte,2019,86.1,cobertura_ab
1101401,RO,Norte,2020,79.07,cobertura_ab
1101401,RO,Norte,2021,122.08,cobertura_aps
1101401,RO,Norte,2022,132.67,cobertura_aps
1101401,RO,Norte,2023,212.15,cobertura_aps
1101401,RO,Norte,2024,212.15,cobertura_aps
1101435,RO,Norte,2019,81.59,cobertura_ab
1101435,RO,Norte,2020,78.38,cobertura_ab
1101435,RO,Norte,2021,101.52,cobertura_aps
1101435,RO,Norte,2022,102.6,cobertura_aps
1101435,RO,Norte,2023,141.12,cobertura_aps
1101435,RO,Norte,2024,174.05,cobertura_aps
1101450,RO,Norte,2019,100.0,cobertura_ab
1101450,RO,Norte,2020,100.0,cobertura_ab
1101450,RO,Norte,2021,159.13,cobertura_aps
1101450,RO,Norte,2022,110.77,cobertura_aps
1101450,RO,Norte,2023,169.69,cobertura_aps
1101450,RO,Norte,2024,169.69,cobertura_aps
1101468,RO,Norte,2019,100.0,cobertura_ab
1101468,RO,Norte,2020,100.0,cobertura_ab
1101468,RO,Norte,2021,162.94,cobertura_aps
1101468,RO,Norte,2022,164.55,cobertura_aps
1101468,RO,Norte,2023,162.33,cobertura_aps
1101468,RO,Norte,2024,162.33,cobertura_aps
1101476,RO,Norte,2019,83.33,cobertura_ab
1101476,RO,Norte,2020,100.0,cobertura_ab
1101476,RO,Norte,2021,252.16,cobertura_aps
1101476,RO,Norte,2022,259.54,cobertura_aps
1101476,RO,Norte,2023,189.63,cobertura_aps
1101476,RO,Norte,2024,227.56,cobertura_aps
1101484,RO,Norte,2019,100.0,cobertura_ab
1101484,RO,Norte,2020,100.0,cobertura_ab
1101484,RO,Norte,2021,138.17,cobertura_aps
1101484,RO,Norte,2022,141.07,cobertura_aps
1101484,RO,Norte,2023,116.49,cobertura_aps
1101484,RO,Norte,2024,133.13,cobertura_aps
1101492,RO,Norte,2019,92.39,cobertura_ab
1101492,RO,Norte,2020,100.0,cobertura_ab
1101492,RO,Norte,2021,135.38,cobertura_aps
1101492,RO,Norte,2022,132.77,cobertura_aps
1101492,RO,Norte,2023,171.92,cobertura_aps
1101492,RO,Norte,2024,171.92,cobertura_aps
1101500,RO,Norte,2019,100.0,cobertura_ab
1101500,RO,Norte,2020,100.0,cobertura_ab
1101500,RO,Norte,2021,118.13,cobertura_aps
1101500,RO,Norte,2022,118.18,cobertura_aps
1101500,RO,Norte,2023,116.08,cobertura_aps
1101500,RO,Norte,2024,116.08,cobertura_aps
1101559,RO,Norte,2019,91.67,cobertura_ab
1101559,RO,Norte,2020,96.68,cobertura_ab
1101559,RO,Norte,2021,165.36,cobertura_aps
1101559,RO,Norte,2022,168.26,cobertura_aps
1101559,RO,Norte,2023,164.47,cobertura_aps
1101559,RO,Norte,2024,164.47,cobertura_aps
1101609,RO,Norte,2019,99.77,cobertura_ab
1101609,RO,Norte,2020,100.0,cobertura_ab
1101609,RO,Norte,2021,168.35,cobertura_aps
1101609,RO,Norte,2022,169.11,cobertura_aps
1101609,RO,Norte,2023,215.7,cobertura_aps
1101609,RO,Norte,2024,215.7,cobertura_aps
1101708,RO,Norte,2019,88.73,cobertura_ab
1101708,RO,Norte,2020,87.91,cobertura_ab
1101708,RO,Norte,2021,93.15,cobertura_aps
1101708,RO,Norte,2022,94.75,cobertura_aps
1101708,RO,Norte,2023,116.93,cobertura_aps
1101708,RO,Norte,2024,130.53,cobertura_aps
1101757,RO,Norte,2019,62.57,cobertura_ab
1101757,RO,Norte,2020,61.59,cobertura_ab
1101757,RO,Norte,2021,92.29,cobertura_aps
1101757,RO,Norte,2022,113.68,cobertura_aps
1101757,RO,Norte,2023,161.04,cobertura_aps
1101757,RO,Norte,2024,134.82,cobertura_aps
1101807,RO,Norte,2019,99.88,cobertura_ab
1101807,RO,Norte,2020,100.0,cobertura_ab
1101807,RO,Norte,2021,157.75,cobertura_aps
1101807,RO,Norte,2022,161.78,cobertura_aps
1101807,RO,Norte,2023,162.06,cobertura_aps
1101807,RO,Norte,2024,157.56,cobertura_aps
1200013,AC,Norte,2019,100.0,cobertura_ab
1200013,AC,Norte,2020,99.2,cobertura_ab
1200013,AC,Norte,2021,135.57,cobertura_aps
1200013,AC,Norte,2022,133.57,cobertura_aps
1200013,AC,Norte,2023,149.77,cobertura_aps
1200013,AC,Norte,2024,149.77,cobertura_aps
1200054,AC,Norte,2019,100.0,cobertura_ab
1200054,AC,Norte,2020,100.0,cobertura_ab
1200054,AC,Norte,2021,139.36,cobertura_aps
1200054,AC,Norte,2022,137.27,cobertura_aps
1200054,AC,Norte,2023,167.43,cobertura_aps
1200054,AC,Norte,2024,191.74,cobertura_aps
1200104,AC,Norte,2019,100.0,cobertura_ab
1200104,AC,Norte,2020,100.0,cobertura_ab
1200104,AC,Norte,2021,117.96,cobertura_aps
1200104,AC,Norte,2022,116.13,cobertura_aps
1200104,AC,Norte,2023,121.15,cobertura_aps
1200104,AC,Norte,2024,121.15,cobertura_aps
1200138,AC,Norte,2019,100.0,cobertura_ab
1200138,AC,Norte,2020,100.0,cobertura_ab
1200138,AC,Norte,2021,120.41,cobertura_aps
1200138,AC,Norte,2022,119.95,cobertura_aps
1200138,AC,Norte,2023,97.43,cobertura_aps
1200138,AC,Norte,2024,110.49,cobertura_aps
1200179,AC,Norte,2019,99.2,cobertura_ab
1200179,AC,Norte,2020,100.0,cobertura_ab
1200179,AC,Norte,2021,145.73,cobertura_aps
1200179,AC,Norte,2022,146.06,cobertura_aps
1200179,AC,Norte,2023,193.65,cobertura_aps
1200179,AC,Norte,2024,193.65,cobertura_aps
1200203,AC,Norte,2019,100.0,cobertura_ab
1200203,AC,Norte,2020,100.0,cobertura_ab
1200203,AC,Norte,2021,148.61,cobertura_aps
1200203,AC,Norte,2022,143.26,cobertura_aps
1200203,AC,Norte,2023,147.03,cobertura_aps
1200203,AC,Norte,2024,159.08,cobertura_aps
1200252,AC,Norte,2019,99.6,cobertura_ab
1200252,AC,Norte,2020,97.9,cobertura_ab
1200252,AC,Norte,2021,131.04,cobertura_aps
1200252,AC,Norte,2022,161.36,cobertura_aps
1200252,AC,Norte,2023,177.26,cobertura_aps
1200252,AC,Norte,2024,177.26,cobertura_aps
1200302,AC,Norte,2019,79.6,cobertura_ab
1200302,AC,Norte,2020,78.53,cobertura_ab
1200302,AC,Norte,2021,82.77,cobertura_aps
1200302,AC,Norte,2022,90.03,cobertura_aps
1200302,AC,Norte,2023,88.91,cobertura_aps
1200302,AC,Norte,2024,88.09,cobertura_aps
1200328,AC,Norte,2019,98.71,cobertura_ab
1200328,AC,Norte,2020,95.74,cobertura_ab
1200328,AC,Norte,2021,104.23,cobertura_aps
1200328,AC,Norte,2022,106.33,cobertura_aps
1200328,AC,Norte,2023,101.51,cobertura_aps
1200328,AC,Norte,2024,101.96,cobertura_aps
1200336,AC,Norte,2019,100.0,cobertura_ab
1200336,AC,Norte,2020,100.0,cobertura_ab
1200336,AC,Norte,2021,152.54,cobertura_aps
1200336,AC,Norte,2022,144.02,cobertura_aps
1200336,AC,Norte,2023,152.48,cobertura_aps
1200336,AC,Norte,2024,149.53,cobertura_aps
1200344,AC,Norte,2019,97.83,cobertura_ab
1200344,AC,Norte,2020,100.0,cobertura_ab
1200344,AC,Norte,2021,126.1,cobertura_aps
1200344,AC,Norte,2022,130.07,cobertura_aps
1200344,AC,Norte,2023,121.5,cobertura_aps
1200344,AC,Norte,2024,129.14,cobertura_aps
1200351,AC,Norte,2019,93.6,cobertura_ab
1200351,AC,Norte,2020,85.34,cobertura_ab
1200351,AC,Norte,2021,81.92,cobertura_aps
1200351,AC,Norte,2022,82.46,cobertura_aps
1200351,AC,Norte,2023,100.0,cobertura_aps
1200351,AC,Norte,2024,129.75,cobertura_aps
1200385,AC,Norte,2019,100.0,cobertura_ab
1200385,AC,Norte,2020,100.0,cobertura_ab
1200385,AC,Norte,2021,140.31,cobertura_aps
1200385,AC,Norte,2022,136.08,cobertura_aps
1200385,AC,Norte,2023,169.08,cobertura_aps
1200385,AC,Norte,2024,169.08,cobertura_aps
1200393,AC,Norte,2019,98.05,cobertura_ab
1200393,AC,Norte,2020,95.33,cobertura_ab
1200393,AC,Norte,2021,137.29,cobertura_aps
1200393,AC,Norte,2022,105.27,cobertura_aps
1200393,AC,Norte,2023,133.79,cobertura_aps
1200393,AC,Norte,2024,149.46,cobertura_aps
1200401,AC,Norte,2019,69.4,cobertura_ab
1200401,AC,Norte,2020,71.47,cobertura_ab
1200401,AC,Norte,2021,77.62,cobertura_aps
1200401,AC,Norte,2022,76.87,cobertura_aps
1200401,AC,Norte,2023,90.61,cobertura_aps
1200401,AC,Norte,2024,95.3,cobertura_aps
1200427,AC,Norte,2019,99.44,cobertura_ab
1200427,AC,Norte,2020,100.0,cobertura_ab
1200427,AC,Norte,2021,144.69,cobertura_aps
1200427,AC,Norte,2022,137.22,cobertura_aps
1200427,AC,Norte,2023,208.92,cobertura_aps
1200427,AC,Norte,2024,208.92,cobertura_aps
1200435,AC,Norte,2019,92.37,cobertura_ab
1200435,AC,Norte,2020,79.4,cobertura_ab
1200435,AC,Norte,2021,134.6,cobertura_aps
1200435,AC,Norte,2022,152.32,cobertura_aps
1200435,AC,Norte,2023,156.18,cobertura_aps
1200435,AC,Norte,2024,156.18,cobertura_aps
1200450,AC,Norte,2019,80.22,cobertura_ab
1200450,AC,Norte,2020,100.0,cobertura_ab
1200450,AC,Norte,2021,123.11,cobertura_aps
1200450,AC,Norte,2022,119.42,cobertura_aps
1200450,AC,Norte,2023,132.44,cobertura_aps
1200450,AC,Norte,2024,133.16,cobertura_aps
1200500,AC,Norte,2019,99.94,cobertura_ab
1200500,AC,Norte,2020,100.0,cobertura_ab
1200500,AC,Norte,2021,114.05,cobertura_aps
1200500,AC,Norte,2022,110.17,cobertura_aps
1200500,AC,Norte,2023,125.52,cobertura_aps
1200500,AC,Norte,2024,124.27,cobertura_aps
1200609,AC,Norte,2019,72.6,cobertura_ab
1200609,AC,Norte,2020,70.24,cobertura_ab
1200609,AC,Norte,2021,83.64,cobertura_aps
1200609,AC,Norte,2022,86.03,cobertura_aps
1200609,AC,Norte,2023,88.05,cobertura_aps
1200609,AC,Norte,2024,101.54,cobertura_aps
1200708,AC,Norte,2019,96.85,cobertura_ab
1200708,AC,Norte,2020,98.21,cobertura_ab
1200708,AC,Norte,2021,133.95,cobertura_aps
1200708,AC,Norte,2022,132.13,cobertura_aps
1200708,AC,Norte,2023,163.47,cobertura_aps
1200708,AC,Norte,2024,176.26,cobertura_aps
1200807,AC,Norte,2019,90.14,cobertura_ab
1200807,AC,Norte,2020,90.68,cobertura_ab
1200807,AC,Norte,2021,92.96,cobertura_aps
1200807,AC,Norte,2022,91.42,cobertura_aps
1200807,AC,Norte,2023,104.83,cobertura_aps
1200807,AC,Norte,2024,104.83,cobertura_aps
1300029,AM,Norte,2019,89.53,cobertura_ab
1300029,AM,Norte,2020,82.44,cobertura_ab
1300029,AM,Norte,2021,100.57,cobertura_aps
1300029,AM,Norte,2022,102.54,cobertura_aps
1300029,AM,Norte,2023,106.54,cobertura_aps
1300029,AM,Norte,2024,105.54,cobertura_aps
1300060,AM,Norte,2019,83.72,cobertura_ab
1300060,AM,Norte,2020,62.3,cobertura_ab
1300060,AM,Norte,2021,81.45,cobertura_aps
1300060,AM,Norte,2022,101.0,cobertura_aps
1300060,AM,Norte,2023,131.8,cobertura_aps
1300060,AM,Norte,2024,145.85,cobertura_aps
1300086,AM,Norte,2019,100.0,cobertura_ab
1300086,AM,Norte,2020,100.0,cobertura_ab
1300086,AM,Norte,2021,135.84,cobertura_aps
1300086,AM,Norte,2022,146.93,cobertura_aps
1300086,AM,Norte,2023,219.58,cobertura_aps
1300086,AM,Norte,2024,245.93,cobertura_aps
1300102,AM,Norte,2019,100.0,cobertura_ab
1300102,AM,Norte,2020,100.0,cobertura_ab
1300102,AM,Norte,2021,114.58,cobertura_aps
1300102,AM,Norte,2022,117.64,cobertura_aps
1300102,AM,Norte,2023,155.98,cobertura_aps
1300102,AM,Norte,2024,160.51,cobertura_aps
1300144,AM,Norte,2019,100.0,cobertura_ab
1300144,AM,Norte,2020,100.0,cobertura_ab
1300144,AM,Norte,2021,132.13,cobertura_aps
1300144,AM,Norte,2022,130.72,cobertura_aps
1300144,AM,Norte,2023,155.62,cobertura_aps
1300144,AM,Norte,2024,161.28,cobertura_aps
1300201,AM,Norte,2019,92.21,cobertura_ab
1300201,AM,Norte,2020,98.88,cobertura_ab
1300201,AM,Norte,2021,137.26,cobertura_aps
1300201,AM,Norte,2022,110.41,cobertura_aps
1300201,AM,Norte,2023,161.88,cobertura_aps
1300201,AM,Norte,2024,205.69,cobertura_aps
1300300,AM,Norte,2019,100.0,cobertura_ab
1300300,AM,Norte,2020,98.93,cobertura_ab
1300300,AM,Norte,2021,111.29,cobertura_aps
1300300,AM,Norte,2022,116.0,cobertura_aps
1300300,AM,Norte,2023,113.62,cobertura_aps
1300300,AM,Norte,2024,111.85,cobertura_aps
1300409,AM,Norte,2019,81.37,cobertura_ab
1300409,AM,Norte,2020,80.49,cobertura_ab
1300409,AM,Norte,2021,104.06,cobertura_aps
1300409,AM,Norte,2022,99.28,cobertura_aps
1300409,AM,Norte,2023,150.11,cobertura_aps
1300409,AM,Norte,2024,153.95,cobertura_aps
1300508,AM,Norte,2019,98.28,cobertura_ab
1300508,AM,Norte,2020,85.24,cobertura_ab
1300508,AM,Norte,2021,106.97,cobertura_aps
1300508,AM,Norte,2022,106.87,cobertura_aps
1300508,AM,Norte,2023,106.97,cobertura_aps
1300508,AM,Norte,2024,113.06,cobertura_aps
1300607,AM,Norte,2019,84.75,cobertura_ab
1300607,AM,Norte,2020,80.83,cobertura_ab
1300607,AM,Norte,2021,95.59,cobertura_aps
1300607,AM,Norte,2022,92.29,cobertura_aps
1300607,AM,Norte,2023,119.69,cobertura_aps
1300607,AM,Norte,2024,135.96,cobertura_aps
1300631,AM,Norte,2019,52.25,cobertura_ab
1300631,AM,Norte,2020,66.66,cobertura_ab
1300631,AM,Norte,2021,60.96,cobertura_aps
1300631,AM,Norte,2022,68.28,cobertura_aps
1300631,AM,Norte,2023,118.25,cobertura_aps
1300631,AM,Norte,2024,118.25,cobertura_aps
1300680,AM,Norte,2019,100.0,cobertura_ab
1300680,AM,Norte,2020,94.66,cobertura_ab
1300680,AM,Norte,2021,89.41,cobertura_aps
1300680,AM,Norte,2022,91.9,cobertura_aps
